run_type,compute_mode,success,duration_ms,workers,threads_per_worker,total_tasks,completed_tasks,seq_part
sequential,BOTH,true,57956,1,1,1400,1400,57956
parallel,BOTH,true,29203,1,2,1400,1400,339
parallel,BOTH,true,18122,2,2,1400,1400,296
parallel,BOTH,true,15839,3,2,1400,1400,297
parallel,BOTH,true,53600,1,2,2800,2800,552
parallel,BOTH,true,29516,2,2,2800,2800,507
parallel,BOTH,true,24754,3,2,2800,2800,540
parallel,BOTH,true,90982,1,2,4200,4200,756
parallel,BOTH,true,44635,2,2,4200,4200,628
parallel,BOTH,true,31439,3,2,4200,4200,603
parallel,BOTH,true,117797,1,2,5600,5600,771
parallel,BOTH,true,57958,2,2,5600,5600,738
parallel,BOTH,true,40083,3,2,5600,5600,773
parallel,BOTH,true,23587,3,2,2800,2800,507
parallel,BOTH,true,27489,2,2,2800,2800,576
parallel,BOTH,true,43808,1,2,2800,2800,532
